sep=;
Journal; Year; Authors; Title; Paper Ref; Country
Clinical spine surgery; 2023 Jun 19; ['Gallagher DO', 'Taghlabi KM', 'Bondar K', 'Saifi C']; Degenerative Cervical Myelopathy: A Concept Review and Clinical Approach.; 38285428
Scientific reports; 2024 Jan 29; ['Akimoto H', 'Suzuki H', 'Kan S', 'Funaba M', 'Nishida N', 'Fujimoto K', 'Ikeda H', 'Yonezawa T', 'Ikushima K', 'Shimizu Y', 'Matsubara T', 'Harada K', 'Nakagawa S', 'Sakai T']; Resting-state functional magnetic resonance imaging indices are related to electrophysiological dysfunction in degenerative cervical myelopathy.; 38282042
BMC musculoskeletal disorders; 2024 Jan 26; ['He H', 'Fan L', 'Lü G', 'Li X', 'Li Y', 'Zhang O', 'Chen Z', 'Yuan H', 'Pan C', 'Wang X', 'Kuang L']; Myth or fact: 3D-printed off-the-shelf prosthesis is superior to titanium mesh cage in anterior cervical corpectomy and fusion?; 38279132
JMIR formative research; 2024 Jan 25; ['Touzet AY', 'Rujeedawa T', 'Munro C', 'Margetis K', 'Davies BM']; Machine Learning and Symptom Patterns in Degenerative Cervical Myelopathy: Web-Based Survey Study.; 38271070
Frontiers in cellular neuroscience; 2024 Jan 10; ['Ojeda J', 'Vergara M', 'Ávila A', 'Henríquez JP', 'Fehlings M', 'Vidal PM']; Impaired communication at the neuromotor axis during Degenerative Cervical Myelopathy.; 38269114
North American Spine Society journal; 2023 Dec 22; ['Shahzad H', 'Alvarez PM', 'Pallumeera M', 'Bhatti N', 'Yu E', 'Phillips FM', 'Khan SN', 'Singh VK']; Exploring the incidence and risk factors of reoperation for symptomatic adjacent segment disease following cervical decompression and fusion.; 38264153
Spine; 2024 Jan 23; ['Wang Y', 'Chen X', 'Wu Q', 'Wang Y', 'Wang J', 'Teng H', 'Xu S', 'Wang Y']; Prone Position Increases the Risk of Postoperative Deep Vein Thrombosis in Cervical Spine Surgery by Limiting Venous Return in the Lower Limbs.; 38258955
World neurosurgery; 2024 Jan 19; ['Mahdavi A', 'Rasti S']; Dynamic Flexion-Extension MRI of the Cervical Spine: An Evolutionary Tool for Diagnosis and Management of Cervical Spondylotic Myelopathy.; 38246532
Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia; 2024 Jan 17; ['Elliott L', 'Li M', 'Gharooni AA', 'Davies BM', 'Mowforth OD']; Respiratory dysfunction in degenerative cervical myelopathy: A systematic review.; 38237493
Cell division; 2024 Jan 17; ['Xu F', 'Tian Z', 'Wang Z']; Cilostazol protects against degenerative cervical myelopathy injury and cell pyroptosis via TXNIP-NLRP3 pathway.; 38233884
Cureus; 2023 Dec 12; ['Saunders LM', 'Sandhu HS', 'McBride L', 'Maniarasu VS', 'Taylor S', 'Dhokia R']; Degenerative Cervical Myelopathy: An Overview.; 38213348
American journal of physical medicine & rehabilitation; 2024 Jan 3; ['Callaghan-VanderWall ME', 'Kuo A', 'Baumann AN', 'Furey CG', 'Cheng CW']; Factors Predisposing Patients to Non-Home Discharge After Surgery for Degenerative Cervical Myelopathy: A Retrospective Analysis.; 38206613
GeroScience; 2024 Jan 10; ['Hameed S', 'Muhammad F', 'Haynes G', 'Smith L', 'Khan AF', 'Smith ZA']; Early neurological changes in aging cervical spine: insights from PROMIS mobility assessment.; 38198027
Neurosurgery; 2024 Jan 10; ['Pedro KM', 'Alvi MA', 'Hejrati N', 'Moghaddamjou A', 'Fehlings MG']; Elderly Patients Show Substantial Improvement in Health-Related Quality of Life After Surgery for Degenerative Cervical Myelopathy Despite Medical Frailty: An Ambispective Analysis of a Multicenter, International Data Set.; 38197642
World neurosurgery: X; 2023 Dec 9; ['Friesen AC', 'Detombe SA', 'Doyle-Pettypiece P', 'Ng W', 'Gurr K', 'Bailey C', 'Rasoulinejad P', 'Siddiqi F', 'Bartha R', 'Duggal N']; Characterizing mJOA-defined post-surgical recovery patterns in patients with degenerative cervical myelopathy.; 38193094
Cureus; 2023 Dec 8; ['Maki Y', 'Kawasaki T', 'Takayama M']; Tailor-Made Surgical Strategy for Coexistent Cervical Myelopathy and Bilateral Radiculopathy. Combined Laminoplasty, Laminectomy, and Foraminotomy: Report of Two Cases.; 38186492
Journal of neurosurgery. Spine; 2024 Jan 5; ['Chan AK', 'Park C', 'Shaffrey CI', 'Gottfried ON', 'Than KD', 'Bisson EF', 'Bydon M', 'Asher AL', 'Coric D', 'Potts EA', 'Foley KT', 'Wang MY', 'Fu KM', 'Virk MS', 'Knightly JJ', 'Meyer S', 'Park P', 'Upadhyaya CD', 'Shaffrey ME', 'Buchholz AL', 'Tumialán LM', 'Turner JD', 'Michalopoulos G', 'Sherrod BA', 'Agarwal N', 'Chou D', 'Haid RW', 'Mummaneni PV']; What predicts the best 24-month outcomes following surgery for cervical spondylotic myelopathy? A QOD prospective registry study.; 38181405
